title,productionCompanies,distributors,releaseDate
The Hateful Eight,"The Weinstein Company,Double Feature Films,FilmColony",Weinstein Company,1/1/16
Anesthesia,Hello Please,IFC Films,1/8/16
The Forest,"Lava Bear Films,AI-Film,Phantom Four",Focus Features,1/8/16
The 5th Wave,"LStar Capital,Columbia Pictures,GK Films,Material Pictures",Sony Pictures,1/14/16
Mad Max: Fury Road,"Village Roadshow Pictures,Kennedy Miller Productions,Warner Bros. Pictures",Warner Bros. Pictures,1/15/16
13 Hours: The Secret Soldiers of Benghazi,"Paramount,3 Arts Entertainment,Bay Films,Latina Pictures,Dune Films",Paramount Pictures,1/15/16
Norm of the North,"Lionsgate,Splash Entertainment,Telegael,Assemblage Entertainment",Lionsgate Films,1/15/16
Ride Along 2,"Reel Chefs Catering,Universal Pictures,Will Packer Productions,Cube Vision",Universal Pictures,1/15/16
Mojave,"Atlas Independent,Henceforth Pictures,Highland Film Group,MICA Entertainment",A24,1/22/16
The Boy,"Lakeshore Entertainment,Vertigo Entertainment,Diamond Films,STX Entertainment",STX Films,1/22/16
Synchronicity,"Soapbox Films,Pop Films",Magnolia Pictures,1/22/16
Dirty Grandpa,"Covert Media,Lionsgate,BillBlock Media,QED International,Josephson Entertainment,Ninjas Runnin' Wild Productions",Lionsgate Films,1/22/16
The Bronze,Duplass Brothers Productions,Sony,1/22/16
Fifty Shades of Black,Open Road Films,Open Road,1/29/16
The Finest Hours,"Red Hawk Entertainment,Walt Disney Pictures,Whitaker Entertainment,Bergsten Music",Walt Disney,1/29/16
Kung Fu Panda 3,"Pearl Studio,China Film Co.,DreamWorks Animation,20th Century Fox",20th Century Fox,1/29/16
Pride and Prejudice and Zombies,"Screen Gems,Lionsgate,Handsomecharlie Films,Cross Creek Pictures,Darko Entertainment,Panorama Media,QC Entertainment",Sony Pictures,2/4/16
The Choice,"Lionsgate,Nicholas Sparks Productions",Lionsgate Films,2/5/16
"Hail, Caesar!","Universal Pictures,Mike Zoss Productions,Working Title Films",Universal Pictures,2/5/16
I Saw the Light,"Bron Studios,RatPac-Dune Entertainment",Sony,2/5/16
How to Be Single,"New Line Cinema,Metro-Goldwyn-Mayer,Flower Films",Warner Bros. Pictures,2/12/16
Zoolander 2,"Scott Rudin Productions,Red Hour",Paramount Pictures,2/12/16
A War,"AZ Celtic Films,Nordisk Film Production A/S",Magnolia Pictures,2/12/16
Deadpool,"Marvel Entertainment,TSG Entertainment,20th Century Fox,Genre Films,The Donners' Company",N/A,2/12/16
Touched With Fire,40 Acres & A Mule Filmworks,Roadside Attractions,2/12/16
Risen,"Patrick Aiello Productions,LD Entertainment,Affirm Films,Columbia Pictures",Sony Pictures,2/18/16
The Mermaid,China Film Group,Sony Pictures,2/19/16
Busco novio para mi mujer,"Azucar Films,ANIMAL DE LUZ FILMS",Lionsgate Films,2/19/16
The Witch,"Very Special Projects,Parts and Labor,RT Features,Rooks Nest Entertainment,Maiden Voyage Pictures,Pulse Films,Scythia Films,Code Red Productions,Mott Street Pictures",A24,2/19/16
Race,"Trinity Race,Forecast Pictures,Solofilms,JoBro Productions",Focus Features,2/19/16
Eddie the Eagle,"Studio Babelsberg,Marv Films,Saville Productions",20th Century Fox,2/26/16
Triple 9,"Surefire Capital,Worldview Entertainment,MadRiver Pictures,Sierra Pictures,Anonymous Content",Open Road,2/26/16
Gods of Egypt,"Thunder Road Pictures,Pyramania,Summit Entertainment,Mystery Clock Cinema,TIK Films",Lionsgate Films,2/26/16
